IDLicitacion;NombreLicitacion;Tipo;Estado;FechaPublicacion;Descripcion;Moneda;TipoPresupuesto;TipoMonto;MontoLicitacion;Organismo,,,,,,,,,,,,,,,,,,,,,,,,,
2287-155-L119;COCINA A GAS CON CILINDRO Y CARGA;L1;Adjudicada a uno o varios proveedores;17/07/2019 13:17:47;SOL. N° 672 (03.07.2019)DIDECO - DPTO SOCIAL;CLP;PUBLICADO;ESTIMADO;150.000;I.MUNICIPALIDAD DE MACUL,,,,,,,,,,,,,,,,,,,,,,,,,
2409-385-L119;ADQ. COCINA A GAS PARA TALLER DE ESCUELA E-939 - SEP;L1;Adjudicada a uno o varios proveedores;26/06/2019 17:03:00;SE REQUIERE ADQUISICIÓN DE COCINA A GAS PARA TALLER DE ESCUELA E-939  ITEM: 29.99.001;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;Municipalidad de Los Angeles,,,,,,,,,,,,,,,,,,,,,,,,,
3877-143-L119;Compra de Estufas a Gas, Depto Social Dideco;L1;Adjudicada a uno o varios proveedores;29/04/2019 13:34:47;Compra de 10 estufas a gas solicitadas por departamento social, Dideco.;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;Ilustre Municipalidad de Lampa,,,,,,,,,,,,,,,,,,,,,,,
3808-29-L119;ESTUDIO DE INSTALACIONES DE GAS INTERIORES EN ESTA;L1;Adjudicada a uno o varios proveedores;20/05/2019 12:53:00;ESTUDIO DE INSTALACIONES DE GAS INTERIORES EN ESTABLECIMIENTOS EDUCACIONALES, SECTOR URBANO Y RURAL.;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;Municipalidad de Purén \ DEPTO.DE SALUD,,,,,,,,,,,,,,,,,,,,,,,,
2583-461-L119;S/P758  BAÑO MARÍA INDUSTRIAL A GAS NATURAL ;L1;Adjudicada a uno o varios proveedores;12/08/2019 17:43:56;BAÑO MARÍA INDUSTRIAL A GAS NATURAL ;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;ILUSTRE MUNICIPALIDAD DE MAIPU,,,,,,,,,,,,,,,,,,,,,,,,,
796305-47-L119;PAF 92 PH SERV. REPARACIÓN Y CERTIFICACIÓN RED DE GAS FACH ANTOFAGASTA ;L1;Adjudicada a uno o varios proveedores;09/07/2019 16:54:30;PAF 92 PH SERV. REPARACIÓN Y CERTIFICACIÓN RED DE GAS FACH ANTOFAGASTA ;CLP;PUBLICADO;ESTIMADO;1.200.000;Fuerza Aérea de Chile,,,,,,,,,,,,,,,,,,,,,,,,,
1292-20-L119;Mantención o reparación de Caldera a Gas,;L1;Adjudicada a uno o varios proveedores;28/06/2019 12:20:00;Mantención o reparación de Caldera a Gas,, paa Campamento Base en Ruta 115 CH, Paso Internacional Pehuenche.;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;MOP - Dirección de Vialidad,,,,,,,,,,,,,,,,,,,,,
2377-252-L119;ESTUFA, CILINDRO S/P N° 1228;L1;Adjudicada a uno o varios proveedores;27/05/2019 15:41:02;DISERGE/ELEMENTO NECESARIO PARA CENTRO DEL CARIÑO;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;MUNICIPALIDAD DE LA FLORIDA,,,,,,,,,,,,,,,,,,,,,,,,
3246-225-L119;INT GBA 33 PH ADQ. HORNO A GAS FACH ANTOFAGASTA ;L1;Adjudicada a uno o varios proveedores;17/06/2019 15:37:40;INT GBA 33 PH ADQ. HORNO A GAS FACH ANTOFAGASTA ;CLP;PUBLICADO;ESTIMADO;2.000.000;Fuerza Aérea de Chile,,,,,,,,,,,,,,,,,,,,,,,,,
2324-132-L119;COMPRA DE HORNO INDUSTRIAL A GAS -DEPTO.MUJER;L1;Adjudicada a uno o varios proveedores;12/04/2019 11:01:15;COMPRA DE HORNO INDUSTRIAL A GAS DE 1 CAMARA 58X65 A MUJERES EMPRENDEDORAS DEL PROGRAMA MUJERES JEFAS DE HOGAR 2019 , BENEF.  VIVIANA CALDERA- DEPTO. MUJER;CLP;PUBLICADO;ESTIMADO;279.990;Municipalidad de Puerto Montt,,,,,,,,,,,,,,,,,,,,,,,,
5489-1-L119;REVISIÓN CIRCUITO Y  ARTEFACTOS A GAS  ;L1;Adjudicada a uno o varios proveedores;12/04/2019 12:15:29;REVISIÓN CIRCUITO Y  ARTEFACTOS A GAS DE LA UNIDAD CON EL OBJETO DE OBTENER LA CERTIFICACIÓN SEC. ;CLP;PUBLICADO;DISPONIBLE;535.500;ARMADA DE CHILE,,,,,,,,,,,,,,,,,,,,,,,,,
3537-77-L119;Adquisición de turbocalefactores a gas para el Campamento Futaleufú;L1;Adjudicada a uno o varios proveedores;14/05/2019 16:14:00;El CUERPO MILITAR DEL TRABAJO, SUBJEFATURA ZONAL “PUERTO MONTT” – en adelante CMT- llama a ofertar para la adquisición turbocalefactores a gas para el Campamento Futaleufú.;CLP;PUBLICADO;DISPONIBLE;500.000;Ejército de Chile,,,,,,,,,,,,,,,,,,,,,,,,
4076-116-L119;Servicio de reparación de pit de abastecimiento de Av Gas, de cargo de la Prefectura Aérea;L1;Adjudicada a uno o varios proveedores;22/05/2019 19:48:39;Contratación de servicio de reparación de pit de abastecimiento de Av Gas de cargo de la Prefectura Aérea, conforme a las bases de licitación.;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;Carabineros de Chile,,,,,,,,,,,,,,,,,,,,,,,
4091-32-LE19;DISEÑO Y CALCULOS ESCUELAS DE LA COMUNA (2);LE;Adjudicada a uno o varios proveedores;11/06/2019 10:49:20;DEX 1804/07-06-2019 FONDOS FAEP 2018;CLP;PUBLICADO;DISPONIBLE;7.500.001;ILUSTRE MUNICIPALIDAD DE MAULLIN,,,,,,,,,,,,,,,,,,,,,,,,,
2280-236-L119;10, SP 53574, GESTIÓN, LICEO SANTA MARIA LA BLANCA, HABILITACIÓN DE RED DE GAS LABORATORIO DE CIENCIAS.;L1;Adjudicada a uno o varios proveedores;11/06/2019 16:08:49;10, SP 53574, GESTIÓN, LICEO SANTA MARIA LA BLANCA, HABILITACIÓN DE RED DE GAS LABORATORIO DE CIENCIAS.;CLP;PUBLICADO;DISPONIBLE;1.668.000;I. MUNICIPALIDAD DE VALDIVIA,,,,,,,,,,,,,,,,,
2377-336-L119;MANGUERAS PARA ESTUFAS A GAS S/P 1343;L1;Adjudicada a uno o varios proveedores;09/07/2019 12:42:15;MATERIAL NECESARIO PARA SEGURIDAD DE LAS ESTUFAS EXISTENTES  S/P 1343;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;MUNICIPALIDAD DE LA FLORIDA,,,,,,,,,,,,,,,,,,,,,,,,,
3145-133-L119;220//001//SA N°88 GBA MANTTO. EQUIPOS DE COCINA;L1;Adjudicada a uno o varios proveedores;04/06/2019 15:45:56;SA N°88 MANTENIMIENTO DE EQUIPOS DE COCINA, SERVICIO A REALIZAR EN BASE AÉREA LOS CÓNDORES, SECTOR AEROPUERTO, IQUIQUE Y CASINO DE OFICIALES CAVANCHA. INCLUIR EN LA OFERTA INSUMOS Y REPUESTOS. ADJUNTAR ACREDITACIÓN  DE LA SUPERINTENDENCIA DE ELECTRICIDAD Y COMBUSTIBLES  (SEC) DEL PERSONAL TÉCNICO QUE EFECTUARA LOS TRABAJOS.;CLP;PUBLICADO;DISPONIBLE;1.982.345;Fuerza Aérea de Chile,,,,,,,,,,,,,,,,,,,,,,
3086-24-L119;ADQUISICION DE REPUESTOS (AR);L1;Adjudicada a uno o varios proveedores;23/05/2019 11:14:37;SATISFACER REQUERIMIENTOS DE UNIDADES Y REPARTICIONES DEPENDIENTES DE LA PRIMERA ZONA NAVAL DE LA ARMADA DE CHILE.  (COMPRA EXENTA DE IVA, FONDOS FORA, LEY N° 18.948, ART. 101)  ;CLP;PUBLICADO;DISPONIBLE;3.850.000;ARMADA DE CHILE,,,,,,,,,,,,,,,,,,,,,,
4307-37-L119;Adquisicion de Productos Varios Jardin Pasitos A.;L1;Adjudicada a uno o varios proveedores;03/06/2019 10:57:19;Adquisición de Leña, recarga de gas mas cilindro, estufa y otros productos implementacion jardín pasitos de amor, comuna Ercilla.;CLP;PUBLICADO;DISPONIBLE;1.011.500;Ilustre Municipalidad de Ercilla,,,,,,,,,,,,,,,,,,,,,,
1709-18-L119;Oxígeno Medicinal para CESFAM ARMANDO WILLIAMS;L1;Adjudicada a uno o varios proveedores;19/03/2019 11:49:32;Oxígeno Medicinal para CESFAM ARMANDO WILLIAMS;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;Ilustre Municipalidad de Cauquenes,,,,,,,,,,,,,,,,,,,,,,,,,
2429-63-L119;ADQUISICION DE MATERIALES PARA REALIZAR TRABAJOS DE MANTENCION EN LA I.M.A.;L1;Adjudicada a uno o varios proveedores;25/06/2019 11:48:13;SOLICITUDES DE BIENES Y SERVICIOS  N° 2019000121, 2019001666 Y 2019001738 D.E.Y.O.. ADQUISICIÓN DE MATERIALES PARA REALIZAR TRABAJOS DE MANTENCION  EN EL EDIFICIO CONSISTORIAL. PUESTO EN NUESTRAS OFICINAS, UBICADAS EN AVENIDA SÉPTIMO DE LINEA N° 3505, 2° PISO. CON CARGA, DESCARGA Y FLETE PAGADO. SE DEBERÁ OFERTAR LA TOTALIDAD DE LOS PRODUCTOS.   ;CLP;PUBLICADO;DISPONIBLE;1.150.172;I MUNICIPALIDAD DE ANTOFAGASTA,,,,,,,,,,,,,,,,,,,,,
2274-55-LE19;SERV. NORMALIZ. Y CONVERSIÓN GAS DE CALDERAS D.136;LE;Adjudicada a uno o varios proveedores;22/04/2019 18:13:00;SERVICIO DE NORMALIZACIÓN Y CONVERSIÓN A GAS DE CALDERAS EN CENTROS DE SALUD FAMILIAR DE LA PINTANA Y TRABAJOS RELACIONADOS. CESFAM SAN RAFAEL Y CESFAM EL ROBLE;CLP;PUBLICADO;DISPONIBLE;16.000.000;I. MUNICIPALIDAD DE LA PINTANA,,,,,,,,,,,,,,,,,,,,,,,,,
4307-42-L119;Adquisicion de Leña y Gas Jardin Nidito de Amor Pa;L1;Adjudicada a uno o varios proveedores;11/06/2019 13:11:38;Adquisición de Recarga de gas y Leña para mantencion Jardín Nidito de Amor Pailahueque, Comuna Ercilla.;CLP;PUBLICADO;DISPONIBLE;350.000;Ilustre Municipalidad de Ercilla,,,,,,,,,,,,,,,,,,,,,,,,
848-13-L119;ADQUISICIÓN DE 2 CALDERAS MURALES A GAS PARA EL JARDÍN INFANTIL RAYITO DE SOL, COMUNA DE TALCA, REGIÓN DEL MAULE;L1;Adjudicada a uno o varios proveedores;06/05/2019 12:20:39;El servicio consiste en proveer 2 calderas a gas licuado modelo AQUA PLUS 35/42, Marca Anwo o equivalente técnico para el Jardín Infantil Rayito de Sol, Comuna de Talca, Región del Maule.;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;Junta Nacional de Jardines Infantiles - JUNJI,,,,,,,,,,,,,,,,,,,,
5053-64-LE19;Adquisición helio para Resonador;LE;Adjudicada a uno o varios proveedores;19/07/2019 12:44:17;Se requiere adquirir helio para el optimo funcionamiento de equipo Resonador Magnético , para dar continuidad a la atención de nuestros pacientes.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;Hospital Talca,,,,,,,,,,,,,,,,,,,,,,,,
948354-71-L119;CONTRATACIÓN DEL SERVICIO DE CERTIFICACIÓN DE SELLO VERDE DEL HOSPITAL DIPRECA;L1;Adjudicada a uno o varios proveedores;20/05/2019 17:21:20;El Hospital de la Dirección de Previsión de Carabineros de Chile Teniente Hernán Merino Correa, ubicado en Vital Apoquindo N°1200, Comuna de las Condes, dependiente de la Dirección de Precisión de carabineros de Chile, invita a participar a todos los interesados en la licitación pública destinada a la CONTRATACIÓN DEL SERVICIO DE CERTIFICACIÓN DE SELLO VERDE DEL HOSPITAL DIPRECA, de acuerdo a las especificaciones que se detallan más adelante.;CLP;PUBLICADO;ESTIMADO;2.700.000;Fondo Hospital Dipreca,,,,,,,,,,,,,,,,,,,,
3256-29-L119;MANTENCIÓN SISTEMA DE CALEFACCIÓN, GAS Y AIRE ACONDICONADO;L1;Adjudicada a uno o varios proveedores;17/07/2019 15:48:55;EFECTUAR MANTENCIÓN SISTEMA DE CALEFACCIÓN, GAS Y AIRE ACONDICONADO EN DEPENDENCIAS DE LA INSPECTORÍA DE INGENIERÍA EN SISTEMAS NAVALES DE TALCAHUANO, AL INTERIOR DE LA BASE NAVAL DE TALCAHUANO;CLP;PUBLICADO;DISPONIBLE;1.815.506;ARMADA DE CHILE,,,,,,,,,,,,,,,,,,,,,,
2343-111-L119;Cocinillas a gas - DSC.1150;L1;Adjudicada a uno o varios proveedores;15/04/2019 17:04:11;Productos solicitados para stock de Emergencia Social.;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;MUNICIPALIDAD DE SANTIAGO,,,,,,,,,,,,,,,,,,,,,,,,,
3877-287-L119;Compra de Estufa a Gas, Of. Valle Grande;L1;Adjudicada a uno o varios proveedores;03/07/2019 13:23:18;Compra de estufa;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;Ilustre Municipalidad de Lampa,,,,,,,,,,,,,,,,,,,,,,,,
2773-40-LE19;Servicio oxígenoterapia a domicilio ;LE;Adjudicada a uno o varios proveedores;26/04/2019 16:24:00;servicio de oxigenoterapia a domicilio en el marco del programa “Cuidados paliativos por cáncer y atención domiciliaria a pacientes con discapacidad severa” para los usuarios de los centros de salud comunales.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;MUNICIPALIDAD DE CHIGUAYANTE,,,,,,,,,,,,,,,,,,,,,,,,,
610-6-LE19;Actualización de modelos de proyección de demanda de combustibles (diesel, gasolinas, glp, kerosenes, gas natural, petróleos combustibles);LE;Adjudicada a uno o varios proveedores;20/06/2019 17:08:45;Diseñar un conjunto de modelos de proyección de demanda para los siguientes  combustibles: gasolina automotriz de 93 octanos, 95 octanos y 97 octanos  kerosene doméstico y kerosene de aviación  petróleo diésel tipo A1, B1 y B2  petróleos combustibles N°5, N°6 e IFO’s  gas licuado de petróleo, tipo propano, butano y mezcla propano-butano  y gas natural excluido el consumo en generación eléctrica y petroquímico  a nivel semanal (para combustibles incluidos en FEPP y MEPCO – gasolinas automotrices, diésel, glp vehicular y gnc) y mensual (para todos los combustibles), según defina la CNE, para distintos horizontes temporales y así, realizar fundadamente, una recomendación respecto al mejor modelo a aplicar por parte de la CNE.;CLP;PUBLICADO;ESTIMADO;22.000.000;Comisión Nacional de Energía,,,,,,,,,
1464-53-LE19;MANTENCION PREVENTIVA Y CORRECTIVA PARA CALDERA ;LE;Adjudicada a uno o varios proveedores;24/06/2019 16:15:26;El Hospital de Parral requiere adquirir o contratar “Mantención preventiva, para caldera a gas y marmitas, eventualmente correctiva y pruebas reglamentarias de caldera a gas de acuerdo a Decreto Supremo Nº 10”, por un periodo de 24 meses, de acuerdo las presentes bases administrativas y técnicas.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;Hospital Parral,,,,,,,,,,,,,,,,,,,,,
610-9-LE19;Mercado Secundario, acceso y comercialización gas;LE;Adjudicada a uno o varios proveedores;25/07/2019 12:22:52;El estudio Mercado secundario, acceso abierto y comercialización del gas de red en Chile, se requiere para determinar las opciones posibles para el desarrollo del mercado secundario del gas, acceso abierto a las redes y comercialización así como las necesidades y lineamientos regulatorios.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;Comisión Nacional de Energía,,,,,,,,,,,,,,,,,,,,,
2427-44-L119;Equipamiento para viviendas, Programa Habitabilidad ;L1;Adjudicada a uno o varios proveedores;11/07/2019 09:35:23;Pedidos Nº 08,13,14, Programa Habitabilidad. Se requiere equipamiento para viviendas de los beneficiarios del Programa Habitabilidad.  Se adjuntan bases técnicas.;CLP;PUBLICADO;DISPONIBLE;1.645.000;ILUSTRE MUNICIPALIDAD DE VALPARAISO,,,,,,,,,,,,,,,,,,,,,
1832-8-L119;Tres Servicios  de Reparación de Gas  y confección de  24 metros  cuadrados  de   radier E 15  cms.  De hormigón 200 kg/m3 para tres casas del CIP CRC de Coronel.;L1;Adjudicada a uno o varios proveedores;06/06/2019 17:41:42;Tres Servicios  de Reparación de Gas  y confección de  24 metros  cuadrados  de   radier E 15  cms.  De hormigón 200 kg/m3 para tres casas del CIP CRC de Coronel.;CLP;PUBLICADO;DISPONIBLE;4.500.000;Servicio Nacional de Menores,,,,,,,,,,,,,,,,,,,,,,,,,
3595-61-L119;Regularización y Certificación de Gas;L1;Adjudicada a uno o varios proveedores;28/05/2019 16:26:31;Las presentes bases administrativas generales tienen como objetivo reglamentar el llamado a licitación pública para la adquisición del Servicio de un instalador certificado por SEC para elaboración de proyecto, planimetría de instalación de gas licuado para una infraestructura, además de certificación TC-6 y Sello verde, contabilizando lo señalado en punto 15 de las bases de licitación pública.;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;ILUSTRE MUNICIPALIDAD DE RIO VERDE,,,,,,,,,,,,,,,,,,,,,,
3134-71-LE19;MEDIDORES DE GAS Y BOTELLAS DE AIRE COMPRIMIDO;LE;Adjudicada a uno o varios proveedores;13/06/2019 15:35:25;MEDIDORES DE GAS Y BOTELLAS DE AIRE COMPRIMIDO;CLP;PUBLICADO;ESTIMADO;6.656.000;ARMADA DE CHILE,,,,,,,,,,,,,,,,,,,,,,,,,
3366-15-LE19;SERVICIO DE REPARACIÓN Y RECUPERACIÓN RED GAS CTD;LE;Adjudicada a uno o varios proveedores;16/04/2019 16:58:57;SE NECESITA CONTRATAR EL SERVICIO DE REPARACIÓN Y RECUPERACIÓN DE LA RED DE DISTRIBUCIÓN INTERNA DE GAS EN EL CUARTEL DE TROPAS DIVISIONARIAS, UBICADA EN EL KM 13,5 NORTE , OJO BUENO. ;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;Ejército de Chile,,,,,,,,,,,,,,,,,,,,,,
1657-9-LE19;MANTENCION DE EQUIPOS LABORATORIO SALUD PUBLICA AMBIENTAL SEREMI SALUD COQUIMBO;LE;Adjudicada a uno o varios proveedores;18/04/2019 12:58:47;LA SEREMI DE SALUD DE LA REGION DE COQUIMBO REQUIERE CONTAR CON SERVICIO DE MANTENCION DE EQUIPOS PARA SU LABORATORIO DE SALUD PUBLICA AMBIENTAL, SEGUN DETALLES INSERTOS EN LAS PRESENTES BASES DE LICITACION.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;Subsecretaría de Salud Pública,,,,,,,,,,,,,,,,,,,,,,,,
3085-88-LE19;SERVICIO CERTIFICACIÓN RED DE GAS EN EDIFICIOS FISCALES HIGUERAS Y LOTA;LE;Adjudicada a uno o varios proveedores;05/08/2019 14:37:03;SERVICIO DE CERTIFICACIÓN DE RED DE GAS EN EDIFICIOS FISCALES EN HIGUERAS Y LOTA;CLP;PUBLICADO;ESTIMADO;4.346.701;ARMADA DE CHILE,,,,,,,,,,,,,,,,,,,,,,,,,
2282-86-LE19;REGULARIZACIÓN CAÑERÍAS DE GAS PARA SELLOS VERDES;LE;Adjudicada a uno o varios proveedores;06/05/2019 16:09:00;REGULARIZACIÓN CAÑERÍAS DE GAS PARA OBTENCIÓN DE SELLO VERDE JARDINES VTF.;CLP;PUBLICADO;DISPONIBLE;33.500.000;I. MUNICIPALIDAD DE VALDIVIA,,,,,,,,,,,,,,,,,,,,,,,,,
1497-15-L119;CONVENIO SUMINISTRO GASES ESPECIALES ACETILENO Y ARGON LABORATORIO SALUD PUBLICA;L1;Adjudicada a uno o varios proveedores;20/06/2019 15:01:09;El objetivo de la presente licitación es la adquisición de gases especiales Acetileno y Argón para el análisis de metales en muestras de alimentos y aguas por métodos de Espectrofotometría de Absorción Atómica, en el Laboratorio de Salud Pública de la SEREMI de Salud Región de Los Ríos. ;CLP;PUBLICADO;DISPONIBLE;1.000.000;Subsecretaría de Salud Pública,,,,,,,,,,,,,,,,,,,,,,,,
3170-28-L119;ADQUISICIÓN E INSTALACIÓN DE HORNO DE PISO A GAS CON 3 CÁMARAS, CON RECURSOS FORA;L1;Adjudicada a uno o varios proveedores;08/07/2019 11:42:38;Adquisición e instalación de Horno de piso a gas modelo VENTUS VHPG-3C o equivalente Operación con Fondos Rotativos de Abastecimiento, exento de todo impuesto, tributo o derecho conforme al Art.101 de la Ley N°18.948;CLP;PUBLICADO;DISPONIBLE;3.600.000;ARMADA DE CHILE,,,,,,,,,,,,,,,,,,,,,,
2146-38-L119;Contratación de servicios para realizar trabajos de regularización de instalaciones de gas del Servicio de Central de Alimentación del Hospital de Andacollo.;L1;Adjudicada a uno o varios proveedores;13/05/2019 15:58:13;Contratación de servicios para realizar trabajos de regularización de instalaciones de gas del Servicio de Central de Alimentación del Hospital de Andacollo. Cabe señalar que las instalaciones existentes se encuentran fuera de normativa segun fiscalización SEC. Según memorandum Nº 404 de fecha 22 de Marzo 2019, enviado por jefa de Servicios Generales del establecimiento. ;CLP;PUBLICADO;DISPONIBLE;1.785.000;Hospital Andacollo,,,,,,,,,,,,,,,,,,,,,,,,
607-73-L119;GAS PIMIENTA, AMONIO, FARDOS, GATERA , OREJA ENTERA;L1;Adjudicada a uno o varios proveedores;30/04/2019 08:44:41;GAS PIMIENTA, AMONIO, FARDOS, GATERA , OREJA ENTERA;CLP;PUBLICADO;DISPONIBLE;792.135;Parque Metropolitano de Santiago,,,,,,,,,,,,,,,,,
5139-3-L119;INSPECCIÓN, REPARACION Y CERTIFICACIÓN DE INSTALACIÓN DE GAS;L1;Adjudicada a uno o varios proveedores;17/06/2019 17:29:00;CERTIFICACIÓN DE INST. DE GAS SEGÚN RESOLUCIÓN EXENTA N°1250 DE LA SUPERINTENDENCIA DE  ELECTRICIDAD Y COMBUSTIBLES, SEGÚN MM N°142 /22.03.2019  Y MEMO N° 245/24.05.2019 DE JEFE DE MANTENIMIENTO DEL HOSPITAL DE LINARES;CLP;PUBLICADO;ESTIMADO;3.500.000;Hospital Linares,,,,,,,,,,,,,,,,,,,,,,,
4285-20-LE19;Mejoramiento y certificacion del sistema de Gas;LE;Adjudicada a uno o varios proveedores;28/06/2019 15:33:21;Mejoramiento y certificación del sistema de gas y obtención de sello verde de los establecimientos Liceo Atenea y liceo C-56 de Los Laureles;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;Ilustre Municipalidad de Cunco,,,,,,,,,,,,,,,,,,,,,,,,,
794947-22-L119;005-012//004//SA 51  MANTTO CALDERAS CASINO ÁGUILAS DEL NORTE;L1;Adjudicada a uno o varios proveedores;29/03/2019 12:57:12;SA 51 UUII 005-012 MANTTO PREVENTIVO Y CORRECTIVO A 02 CALDERAS HEATMASTER 200F CON QUEMADOR A GAS. VISITA EN TERRENO DE CARÁCTER OBLIGATORIO;CLP;PUBLICADO;DISPONIBLE;3.500.000;Fuerza Aérea de Chile,,,,,,,,,,,,,,,,,,,,,,,,,
1709-16-L119;Oxígeno Medicinal para CESFAM DR. RICARDO VALDÉS;L1;Adjudicada a uno o varios proveedores;18/03/2019 15:59:00;Oxígeno Medicinal para CESFAM DR. RICARDO VALDÉS;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;Ilustre Municipalidad de Cauquenes,,,,,,,,,,,,,,,,,,,,,,,,,
1980-46-L119;REPARACIÓN DE 03 EQUIPOS DE RESPIRACIÓN AUTOCONTENIDO DE 4.500 PSI DEL SERVICIO S.S.E.I. DEL AEROPUERTO CHACALLUTA DE ARICA;L1;Adjudicada a uno o varios proveedores;05/08/2019 12:02:19;REPARACIÓN DE 03 EQUIPOS DE RESPIRACIÓN AUTOCONTENIDO DE 4.500 PSI DEL SERVICIO S.S.E.I. DEL AEROPUERTO CHACALLUTA DE ARICA;CLP;PUBLICADO;ESTIMADO;700.000;Dirección General de Aeronáutica Civil,,,,,,,,,,,,,,,,,,,,,,,,,
846-28-LE19;REPARACION ESTUFAS, REJA PROTECCION Y MUDADOR;LE;Adjudicada a uno o varios proveedores;19/07/2019 16:09:34;LLAMA A LICITACIÓN PÚBLICA, POR CONFECCIÓN DE PROTECCIONES, REPARACIONES Y MANTENCIONES DE ESTUFAS 5 KG Y 15 KG PARA EN LAS OFICINAS REGIONALES Y JARDINES INFANTILES Y ADQUISICIÓN DE MUDADOR PLEGABLE, APROBANDO ESPECIFICACIONES TÉCNICAS Y BASES ADMINISTRATIVAS.;CLP;PUBLICADO;DISPONIBLE;4.800.000;Junta Nacional de Jardines Infantiles - JUNJI,,,,,,,,,,,,,,,,,,,,,
4052-32-LE19;NORMALIZACION GAS NATURAL CASAS MUNICIPALES, VILLA;LE;Adjudicada a uno o varios proveedores;13/07/2019 17:59:00;NORMALIZACION A GAS NATURAL DE 10 CASAS MUNCIPALES EN VILLA TEHUELCHES COMUNA DE LAGUNA BLANCA;CLP;PUBLICADO;DISPONIBLE;33.571.000;Ilustre Municipalidad de Laguna Blanca,,,,,,,,,,,,,,,,,,,,,,,,
952946-8-LE19;MANTENIMIENTO Y REPARACIÓN CALDERAS A GAS ;LE;Adjudicada a uno o varios proveedores;25/04/2019 17:29:05;SERVICIO DE MANTENIMIENTO Y REPARACIÓN CALDERAS A GAS Y REDES DE DISTRIBUCIÓN DEL CAMPO MILITAR VALDIVIA.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;Ejército de Chile,,,,,,,,,,,,,,,,,,,,,,,,,
3337-3-LE19;ADQUISICIÓN DE UN HORNO A GAS Y UN LAVAVAJILLA IND;LE;Adjudicada a uno o varios proveedores;24/04/2019 16:53:06;QUE, EL COMANDO DE SALUD DEL EJÉRCITO REQUIERE ADQUIRIR UN HORNO A GAS Y UNA MÁQUINA LAVAVAJILLA INDUSTRIAL, INSTALADOS,  PARA EL NORMAL FUNCIONAMIENTO DEL CASINO CENTRALIZADO.;CLP;PUBLICADO;DISPONIBLE;7.998.000;Ejército de Chile,,,,,,,,,,,,,,,,,,,,,,
2422-271-L119;SOLICITUD 930432 COCINILLAS 2 PLATO.KITS DE REGULADORES;L1;Adjudicada a uno o varios proveedores;27/05/2019 11:08:09;ES DE CARÁCTER OBLIGATORIO   INGRESAR  LOS DATOS ADJUNTOS DE LOS DOS ARCHIVOS (ARCHIVO DEL REQUERIMIENTO,RESUMEN DE OFERTA . .)  COCINILLA 2 PLATOS, GAS LICUADO, CUERPO PINTURA ELECTROESTATICA, PARRILLAS CROMADAS, TIPO DE GAS GLP, FLUJO TERMICO DE 3.2 KW. PRESION DE 2.75 KPA, FRENTE MÍNIMO DE 500 MM. FONDO MÍNIMO DE 300 MM. ALTO MÍNIMO DE 80 MM. KITS DE REGULADORES DE GAS LICUADO PARA BALONES DE 11 KG. Y 15 KG. CONEXION 3/8. CON FLEXIBLE METALICO DE 3/8 DE DIAMETRO Y 100 CMS. DE LARGO. ;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;MUNICIPALIDAD DE PUENTE ALTO,,,,,,,,,,,,,,,,,,
3264-27-LE19;SERV. DISEÑO Y CONSTRUCCIÓN DE LÍNEA DE GAS;LE;Adjudicada a uno o varios proveedores;08/07/2019 10:24:31;tienen por objeto establecer las normas y procedimientos que regirán la presente licitación pública, para efectuar el “SERVICIO DE DISEÑO Y CONSTRUCCIÓN DE LÍNEA DE GAS EN BASE NAVAL, PUNTA ARENAS”, ubicada en Avda. Bulnes Nº 05376, sector Tres Puentes de la Ciudad de Punta Arenas;CLP;PUBLICADO;DISPONIBLE;45.636.984;ARMADA DE CHILE,,,,,,,,,,,,,,,,,,,,,
